2020-07-14T07:27:14,476 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-resolver/4.1.25.Final
2020-07-14T07:27:14,476 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-resolver-dns/4.1.25.Final
2020-07-14T07:27:14,478 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-transport/4.1.25.Final
2020-07-14T07:27:14,480 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-transport-native-epoll/4.1.25.Final/jar/linux-x86_64
2020-07-14T07:27:14,481 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-transport-native-kqueue/4.1.43.Final
2020-07-14T07:27:14,481 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-transport-native-unix-common/4.1.25.Final
2020-07-14T07:27:14,481 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:jakarta.activation/jakarta.activation-api/1.2.1
2020-07-14T07:27:14,482 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:jakarta.xml.bind/jakarta.xml.bind-api/2.3.2
2020-07-14T07:27:14,483 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/javax-xml-bind-patch/3.0.2
2020-07-14T07:27:14,484 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:javax.el/javax.el-api/3.0.0
2020-07-14T07:27:14,487 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:javax.mail/mail/1.4.7
2020-07-14T07:27:14,488 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2020-07-14T07:27:14,490 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:javax.validation/validation-api/2.0.1.Final
2020-07-14T07:27:14,491 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:javax.websocket/javax.websocket-api/1.1
2020-07-14T07:27:14,491 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/jnr-unixsocket-wrapper/3.0.2
2020-07-14T07:27:14,492 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.json/json/20180813
2020-07-14T07:27:14,492 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/jsonwebtoken-wrapper/3.0.2
2020-07-14T07:27:14,492 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:net.minidev/accessors-smart/1.2
2020-07-14T07:27:14,493 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:net.minidev/json-smart-action/2.3
2020-07-14T07:27:14,493 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2020-07-14T07:27:14,493 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.3.1
2020-07-14T07:27:14,495 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.2
2020-07-14T07:27:14,496 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2020-07-14T07:27:14,497 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2020-07-14T07:27:14,497 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2020-07-14T07:27:14,500 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2020-07-14T07:27:14,502 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2020-07-14T07:27:14,502 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2020-07-14T07:27:14,502 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.6
2020-07-14T07:27:14,503 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.2.3
2020-07-14T07:27:14,505 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2020-07-14T07:27:14,507 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-ahc/3.0.0
2020-07-14T07:27:14,508 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-api/3.0.0
2020-07-14T07:27:14,513 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-attachments/3.0.0
2020-07-14T07:27:14,513 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-base/3.0.0
2020-07-14T07:27:14,517 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-bean/3.0.0
2020-07-14T07:27:14,520 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-blueprint/3.0.0
2020-07-14T07:27:14,521 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-browse/3.0.0
2020-07-14T07:27:14,522 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-caffeine-lrucache/3.0.0
2020-07-14T07:27:14,524 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-cloud/3.0.0
2020-07-14T07:27:14,542 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-commands-core/3.0.0
2020-07-14T07:27:14,543 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-controlbus/3.0.0
2020-07-14T07:27:14,544 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core/3.0.0
2020-07-14T07:27:14,548 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-engine/3.0.0
2020-07-14T07:27:14,549 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-osgi/3.0.0
2020-07-14T07:27:14,556 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-xml/3.0.0
2020-07-14T07:27:14,559 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-cxf/3.0.0
2020-07-14T07:27:14,561 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-cxf-transport/3.0.0
2020-07-14T07:27:14,563 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-dataformat/3.0.0
2020-07-14T07:27:14,564 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-dataset/3.0.0
